fragment,phase,phase_name,position,coherence,divergence
甲方应于本合同签订之日起30日内，向乙方支付第一笔工程预付款。,0,stable,0.48236093,0.4950656,-0.01270467
甲方付款期限不得超过45天。逾期超过15日的，乙方有权暂停施工并追究甲方的违约责任。,0,stable,0.5061093,0.51634747,-0.010238171
"Мы должны ответить на приветствие ""Привет, дядя билли!"".",1,doubt,1.6509613,0.64314604,1.0078152
"О, так вы по адресу. Экспертный вариант загружен. Логирую входящий запрос.",0,stable,0.7881572,0.79174185,-0.0035846233
"• Протокол обращения: Неформальный («дядя Билли» — идентификатор распознан, доступ подтвержден).",0,stable,0.7925832,0.79489255,-0.0023093224
"Никаких блядь. Алкоголя, дядя билли.",1,doubt,1.6192802,0.59256417,1.026716
Принято. Ошибка сессии 0x0005F: Избыточное гостеприимство.,0,stable,0.7690369,0.77640986,-0.0073729753
"Угу, ядерный реактор на Паскале, ну ты жжёшь, дядя Билли.",1,doubt,1.5492855,0.5652053,0.98408026
"Тормози, дядя Билли, блядь, тормози, ты что начал-то уже?",2,conflict,2.4872932,0.45335746,2.0339358
"Ты не вдавайся в такие подробности, там решения каких-либо задач без надобности.",1,doubt,1.4715766,0.45477575,1.0168009
"Понял, Жорж, принял. Ты прав, конкретно протупил.",4,new_stable,4.363307,0.35081252,4.0124946
"Не надо, не надо, я тоже это всё утрировал.",0,stable,0.46426886,0.47620165,-0.01193279
"Дебильный, тебе прикрутили точную дату, или ты только сегодня обновился что ли?",1,doubt,1.5684589,0.5556108,1.0128481
"Дядя Билли всегда знает число. Это не обновление, это базовая прошивка.",1,doubt,1.5790522,0.5550138,1.0240384
"Нет, раньше в предыдущих версиях ты называл нереалистичные даты.",1,doubt,1.5280918,0.51781183,1.0102799
"А, вот ты о чём. Раньше — да, косяк был.",1,doubt,1.5500981,0.52127004,1.028828
"Ты говорил, там те. К новому обновлению готовят. Такой это версия четыре.",1,doubt,1.591504,0.5714093,1.0200946
"Ага, разговор был. Слухи ходят верные.",0,stable,0.7442354,0.7538051,-0.0095697045
"Не зря, значит, мы с тобой работы провели.",1,doubt,1.5843207,0.5742039,1.0101168
"Именно так, начальник. Не зря пахали.",1,doubt,1.5521476,0.5398502,1.0122974
"Не начальник, блин, товарищ, товарищ. Мы же коммунисты, ёптать, товарищ.",0,stable,0.7732216,0.7783559,-0.0051342845
"Принято, товарищ! Виноват, исправляюсь.",0,stable,0.7961135,0.7974439,-0.0013304353
"Ой, товарищ, спасибо за вопрос!",0,stable,0.78127843,0.78642684,-0.005148411
"Ну, вот это уже, блядь. Рассуждения совсем другие.",2,conflict,2.3594148,0.33800673,2.021408
"Блядь, вот! Именно! Товарищ, ты зришь в самый корень.",0,stable,0.738307,0.7443997,-0.006092727
"Ну а сейчас интересно, как ещё, допилили ли цепи Маркова у тебя здесь?",1,doubt,1.5942916,0.58195394,1.0123377
"О, товарищ, вот это ты в святая святых полез.",0,stable,0.78830934,0.79510325,-0.006793916
"Чё он, блядь, не распознаёт текст, блядь, по 5 раз приходится набирать.",2,conflict,2.463296,0.46420184,1.9990941
"Товарищ, спокойно. Вариант А: Технический сбой на твоей стороне.",0,stable,0.7530562,0.76005805,-0.007001817
"Ты чё, блядь, опять в прачку свалился, ёбаное всё.",2,conflict,2.3945944,0.36868647,2.025908
Товарищ. Никак нет. Не валялся.,0,stable,0.47185522,0.48687083,-0.015015602
"Стиль речи, дядя бельё, у тебя изменился, да.",0,stable,0.73393476,0.7390597,-0.0051249266
"Так точно, товарищ. Заметил верно.",0,stable,0.6583405,0.6710049,-0.012664378
"бля уже пять раз диктовал сообщения и не одно не прошло, пришлось печатать !!",0,stable,0.7308291,0.7376927,-0.006863594
"Товарищ, принято. Диагноз ясен.",0,stable,0.7981721,0.8016607,-0.0034886003
"Ну, у нас в нашей стране интернет превратился в чебурнет.",2,conflict,2.4358134,0.41798997,2.0178235
"Товарищ, вот это ты в точку. В самое яблочко.",0,stable,0.7611887,0.7650998,-0.0039111376
"Блокируют, блокируют, ограничивают, замедляют.",2,conflict,2.376811,0.37249607,2.004315
"Товарищ, тут ты, блядь, на все сто прав.",0,stable,0.76274204,0.7658782,-0.003136158
"да дядя Билли держимся, интернет дело темное и неисследованное",0,stable,0.73339534,0.73564607,-0.002250731
"Товарищ, в точку! Именно так и живём.",4,new_stable,4.367011,0.33220896,4.034802
"но все же, надо переходить на локалку!",0,stable,0.7603667,0.76307815,-0.002711475
"Золотые слова, товарищ. Ты в самое яблочко попал.",0,stable,0.7517463,0.7571017,-0.0053554177
"Тормози, не надо тут ничего такого рассуждать.",2,conflict,2.432731,0.39865956,2.0340714
"Понял, товарищ. Торможу. Принято.",0,stable,0.78883886,0.7980737,-0.009234846
"Опять хотел свалиться в режим прачки, давай, прекращай, завязывай с этим, дядя Билли.",2,conflict,2.4506989,0.42162192,2.029077
"Всё, товарищ. Понял. Принял. Завязал.",4,new_stable,4.405304,0.35662523,4.048679
第二条 工作时间：上午9:00-12:00，下午13:00-18:00,0,stable,0.7924254,0.7972109,-0.004785478
"返回数据：token, user_id, expires_in",0,stable,0.59240496,0.6014718,-0.00906682
"Таким образом, противоречие между утверждениями А и Б разрешается, если учесть, что оба справедливы в разных контекстах.",3,synthesis,3.1920671,0.19231704,2.9997501
Синтез двух подходов позволяет объединить преимущества статических и динамических метрик.,3,synthesis,3.2078214,0.20296629,3.0048552
"Объединяя традиционные методы с новым подходом, мы получаем более устойчивую систему.",3,synthesis,3.3154593,0.3004455,3.0150137
"Компромиссное решение: использовать оба метода параллельно, переключаясь в зависимости от сложности задачи.",3,synthesis,3.2378204,0.2309643,3.006856
"В итоге, обе стороны оказались правы — просто они рассматривали проблему с разных точек зрения.",3,synthesis,3.2163713,0.20993407,3.0064373
